"Part";"Value";"Device";"Package";"Description";"";
"C1";"100uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C2";"10uF";"CAPACITOR.1206";"1206";"";"";
"C3";"330nF";"CAPACITOR.0603";"0603";"";"";
"C4";"22uF";"CAPACITOR.0805";"0805";"";"";
"C5";"1uF";"CAPACITOR.0603";"0603";"";"";
"C6";".1uF";"CAPACITOR.0603";"0603";"";"";
"C7";"1uF";"CAPACITOR.0603";"0603";"";"";
"C8";".1uF";"CAPACITOR.0603";"0603";"";"";
"C9";".1uF";"CAPACITOR.0603";"0603";"";"";
"C10";".1uF";"CAPACITOR.0603";"0603";"";"";
"C11";"1uF";"CAPACITOR.0603";"0603";"";"";
"C12";".1uF";"CAPACITOR.0603";"0603";"";"";
"C13";".1uF";"CAPACITOR.0603";"0603";"";"";
"C14";"1uF";"CAPACITOR.0603";"0603";"";"";
"C15";"1uF";"CAPACITOR.0603";"0603";"";"";
"C16";"47uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C17";".1uF";"CAPACITOR.0603";"0603";"";"";
"C18";"47uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C19";".1uF";"CAPACITOR.0603";"0603";"";"";
"C20";".1uF";"CAPACITOR.0603";"0603";"";"";
"C21";".1uF";"CAPACITOR.0603";"0603";"";"";
"C22";"10nF";"CAPACITOR.0603";"0603";"";"";
"C23";".1uF";"CAPACITOR.0603";"0603";"";"";
"C24";".1uF";"CAPACITOR.0603";"0603";"";"";
"C25";".1uF";"CAPACITOR.0603";"0603";"";"";
"C26";".1uF";"CAPACITOR.0603";"0603";"";"";
"C27";".1uF";"CAPACITOR.0603";"0603";"";"";
"C28";".1uF";"CAPACITOR.0603";"0603";"";"";
"C29";".1uF";"CAPACITOR.0603";"0603";"";"";
"C30";".1uF";"CAPACITOR.0603";"0603";"";"";
"C31";".1uF";"CAPACITOR.0603";"0603";"";"";
"C32";"2.2uF";"CAPACITOR.0603";"0603";"";"";
"C33";".1uF";"CAPACITOR.0603";"0603";"";"";
"C34";"100uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C36";".1uF";"CAPACITOR.0603";"0603";"";"";
"C37";"1uF";"CAPACITOR.0603";"0603";"";"";
"C38";".1uF";"CAPACITOR.0603";"0603";"";"";
"C39";"220uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C40";"330uF";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";
"C41";"10nF";"CAPACITOR.0603";"0603";"";"";
"C42";"10uF";"CAPACITOR.1206";"1206";"";"";
"D1";"CDBMT2100-HF";"CDBMT____-HF";"SOD-123H";"";"";
"D3";"CDBMT2100-HF";"CDBMT____-HF";"SOD-123H";"";"";
"D4";"CDBMT2100-HF";"CDBMT____-HF";"SOD-123H";"";"";
"D5";"CDBMT2100-HF";"CDBMT____-HF";"SOD-123H";"";"";
"D6";"CDBC5XXX-G";"CDBC5XXX-G";"DO-214AB";"";"";
"H1";"1X7";"1X7";"1X7";"";"";
"H2";"1X7";"1X7";"1X7";"";"";
"H3";"1X6";"1X6";"1X6";"";"";
"H4";"1X7";"1X7";"1X7";"";"";
"H5";"1X7";"1X7";"1X7";"";"";
"H6";"1X6";"1X6";"1X6";"";"";
"H7";"1X3";"1X3";"1X3";"";"";
"H9";"1X3";"1X3";"1X3";"";"";
"H10";"1X4";"1X4";"1X4";"";"";
"H11";"1X4";"1X4";"1X4";"";"";
"H12";"1X4";"1X4";"1X4";"";"";
"H13";"2X3";"2X3";"2X3";"";"";
"H14";"2X3";"2X3";"2X3";"";"";
"H17";"1X2.PTS";"1X2.PTS.PLUG";"PTS.PLUG";"";"";
"H18";"1X2.PTS";"1X2.PTS.PLUG";"PTS.PLUG";"";"";
"H19";"1X2.PTS";"1X2.PTS.PLUG";"PTS.PLUG";"";"";
"H20";"1X2.PTS";"1X2.PTS.PLUG";"PTS.PLUG";"";"";
"H24";"1X2";"1X2";"1X2";"";"";
"J1";"1X2.PTS";"1X2.PTS.PLUG";"PTS.PLUG";"";"";
"J2";"";"SOLDERJUMPER.2.MED";"2.MED";"";"";
"J3";"";"SOLDERJUMPER.2.LRG";"2.LRG";"";"";
"J4";"";"SOLDERJUMPER.3.LRG.23";"3.LRG.23";"";"";
"J6";"";"SOLDERJUMPER.3.LRG";"3.LRG";"";"";
"J7";"";"SOLDERJUMPER.3.LRG";"3.LRG";"";"";
"J9";"";"SOLDERJUMPER.2.LRG.PASTE";"2.LRG.PASTE";"";"";
"L1";"2.2uH";"INDUCTOR.XAL4020";"XAL4020";"";"";
"L3";"10uH";"INDUCTOR.XAL6060";"XAL6060";"";"";
"LED1";"";"LED.0603";"0603.LED";"";"";
"LED2";"";"LED.0603";"0603.LED";"";"";
"LED3";"";"LED.0603";"0603.LED";"";"";
"LED4";"";"LED.0603";"0603.LED";"";"";
"LED5";"";"LED.0603";"0603.LED";"";"";
"LED6";"";"LED.0603";"0603.LED";"";"";
"LED7";"";"LED.0603";"0603.LED";"";"";
"LED8";"";"LED.0603";"0603.LED";"";"";
"Q1";"";"FDMA";"MICROFET.2X2";"";"";
"Q2";"";"FDMA";"MICROFET.2X2";"";"";
"R1";"1u";"RESISTOR.WSK";"0612";"";"";
"R2";"10k";"RESISTOR.0603";"0603";"";"";
"R4";"1k";"RESISTOR.0603";"0603";"";"";
"R5";"10k";"RESISTOR.0603";"0603";"";"";
"R6";"2.2k";"RESISTOR.0603";"0603";"";"";
